,amount,meal,name,notes,unit
327,1 lb / 500 g ,Seafood Gratin Pasta Bake,mixed raw seafood,(Marinara seafood mix) (Note 1),
328,2,Seafood Gratin Pasta Bake,leeks,white and pale green part only finely sliced,
329,2,Seafood Gratin Pasta Bake,garlic cloves,minced,
330,3,Seafood Gratin Pasta Bake,butter,,tbsp
331,3,Seafood Gratin Pasta Bake,flour,,tbsp
332,2 1/2,Seafood Gratin Pasta Bake,milk,,cups
333,1,Seafood Gratin Pasta Bake,chicken bouillon cube,(or 1 1/2 tsp chicken stock powder) OR 1/2 cup grated parmesan cheese,
334,3/4,Seafood Gratin Pasta Bake,panko,,cup
335,1/4,Seafood Gratin Pasta Bake,grated parmesan cheese,(high recommended),cup
336,,Seafood Gratin Pasta Bake,Finely chopped fresh parsley,(optional),
337,1,Creamy Chicken in White Wine Sauce (with Bacon!),olive oil,,tbsp
338,2.5 lb / 1.2 kg ,Creamy Chicken in White Wine Sauce (with Bacon!),chicken pieces,bone in thigh & drumsticks are ideal (Note 1),
339,1 tbsp / 15g / 0.5 oz,Creamy Chicken in White Wine Sauce (with Bacon!),butter,,
340,3,Creamy Chicken in White Wine Sauce (with Bacon!),garlic cloves,crushed,
341,1,Creamy Chicken in White Wine Sauce (with Bacon!),onion,"(brown, white, yellow), finely chopped (~1 cup)",
342,5 oz / 150 g ,Creamy Chicken in White Wine Sauce (with Bacon!),bacon,diced,
343,2 cups / 500 ml ,Creamy Chicken in White Wine Sauce (with Bacon!),dry white wine,(Note 2),
344,1 cup / 250 ml,Creamy Chicken in White Wine Sauce (with Bacon!),chicken broth / stock or water,,
345,2,Creamy Chicken in White Wine Sauce (with Bacon!),fresh thyme leaves,(or 1 tsp dried),tsp
346,3/4 cup / 185 ml,Creamy Chicken in White Wine Sauce (with Bacon!),cream,"(pouring or heavy cream, but not low fat cream)", 
347,,Creamy Chicken in White Wine Sauce (with Bacon!),Finely chopped parsley,,
348,60 g / 2 oz / 4 tbsp ,Twice Baked Make Ahead Cheese Souffle,unsalted butter,,
349,1,Twice Baked Make Ahead Cheese Souffle,finely chopped leeks or scallions/shallots,(white part only),cup
350,1/3 cup (40 g / 1.5 oz) ,Twice Baked Make Ahead Cheese Souffle,plain all purpose flour (unsifted),,
351,1,Twice Baked Make Ahead Cheese Souffle,milk,,cup
352,1,Twice Baked Make Ahead Cheese Souffle,grated good melting cheese,(see notes),cup
353,3,Twice Baked Make Ahead Cheese Souffle,eggs,separated,
354,,Twice Baked Make Ahead Cheese Souffle,of salt and pepper,,Pinch
355,1 1/4,Twice Baked Make Ahead Cheese Souffle,cream,(unwhipped),cups
356,4,Twice Baked Make Ahead Cheese Souffle,grated cheese,,tbsp
357,,Twice Baked Make Ahead Cheese Souffle,of salt and pepper,,Pinch
